id,날짜,분류1,분류2,텍스트
77369,20180619,"지역,광주","지역,전남",하늘길 운항노선도 광주-제주 광주-양양 광주-김해 등 국내는 물론 일본과 중국 등 동남아로 점차 넓혀가기로 했다.
77370,20180619,"지역,광주","지역,전남",저가항공보다는 프레미엄 비즈니스 전문 항공사를 추구하는 에어필립은 지방 도시간 항공망 구축에 새 지평을 열 것으로 기대된다.
77371,20180619,"지역,광주","지역,전남",울릉도와 흑산도 등의 소형공항이 수년 내 문을 열 경우 광주?전남 지역민의 관광 접근성도 획기적으로 개선될 전망이다.
77372,20180619,"지역,광주","지역,전남",지역민들이 해외여행을 위해 인천공항에 갈 때마다 고속버스에 ‘수화물’을 싣고 내리던 불편도 덜 수 있게 됐다.
77378,20180619,"지역,광주","지역,전남",포항출신인 필립에셋 엄일석 회장은 “광주에 18년 동안 살면서 강원도나 인천공항에 갈 때마다 지역거점 항공사 필요성을 절감해왔다”며 “지역민들의 편의에 철저히 맞춰 항공기 운항 시간과 노선을 결정할 것”이라고 말했다.
77466,20180618,"경제,증권_증시","경제,국제경제",앞으로 신흥국 통화 가치가 계속 하락할 것으로 예상된다면 신흥국 증시에서 발을 뺄 수밖에 없게 된다.
77470,20180618,"경제,증권_증시","경제,국제경제",신한금융투자 곽현수 연구원은 “코스피가 지난 2월 이후 고점 대비 10% 이상 하락한 적은 처음”이라며 “2월에도 저점을 다진 후 약 6주간 외국인 자금이 순유입됐었다”고 말했다.
77471,20180618,"경제,증권_증시","경제,국제경제","유안타증권 정인지 연구원은 “코스피는 2350선에 지지대가 있고, 원·달러 환율도 1100∼1110원에서 저항을 받을 수 있다”고 설명했다."
77477,20180618,"경제,증권_증시","경제,국제경제",이베스트투자증권 최광혁 연구원은 “실업률도 문제지만 대부분 업종에서 취업이 감소하고 있다”며 “소득주도성장이 어그러지면 국내 경기에 대한 기대를 줄여야 한다는 불안감이 커질 수 있다”고 말했다.
77700,20180618,"지역,제주","지역,대전","제주지방경찰청은 제주공항 1층 3번 출구 앞에 가로 5m, 세로 3.2m, 높이 3.5m인 대형 브릭 조형물을 갖추고 20일 조형물 제막식을 개최한다고 18일 밝혔다."
77703,20180618,"지역,제주","지역,대전","총 1억2000여만원이 소요된 조형물은 5만여개의 브릭을 사용, 제주섬을 형상화하는 중심부와 관광지 등 소작품 17개로 구성됐다."
77704,20180618,"지역,제주","지역,대전","소작품은 유채꽃과 산방산, 올레길, 제주해녀, 감귤·한라봉(사진), 동백꽃 등으로 작품마다 안전을 위해 활동하는 제주 경찰관 모형도 배치했다."
77705,20180618,"지역,제주","지역,대전",조형물은 설문대할망에 대한 옛이야기와 아름다운 제주의 관광지·명물 등을 소개하며 국민들과 호흡하는 제주경찰의 모습을 통해 제주를 방문한 여행객들이 안심하고 여행할 수 있다는 메시지를 전한다.
77820,20180619,"국제,중남미","스포츠,월드컵",콜롬비아 미드필더 후안 페르난도 퀸테로는 19일 러시아 모르도비야 아레나에서 열린 월드컵 조별리그 H조 1차전에서 0-1로 뒤진 전반 39분 프리킥 직접 슛으로 동점골을 터뜨렸다.
77825,20180619,"국제,중남미","스포츠,월드컵",일본은 선축으로 시작된 첫 공격 때 전반 2분 미드필더 카가와 신지의 슛을 페널티박스 안에서 오른팔로 막은 콜롬비아 미드필더 카를로스 산체스의 핸들링 반칙으로 페널티킥을 얻었다.
77962,20180618,"지역,충북",,수양개 빛 터널은 지난해 7월 개장한 뒤 12월 말까지 6개월간 12만1755명이 관람해 8억원이 넘는 입장료 수입을 올렸다.
77963,20180618,"지역,충북",,이번 관광객 통계분석 자료는 도담삼봉을 비롯한 단양지역 주요 관광지 22곳의 무인계측기와 입장권 판매 현황 등을 통해 조사됐다.
77979,20180618,"지역,충북","문화,학술_문화재",충북 충주박물관에서 18일 열린 ‘제1회 문화재 그리기 대회’에 참가한 어린이들이 국보 6호인 ‘충주 탑평리 칠층석탑’을 소재로 그림을 그리고 있다.
78337,20180620,"국제,러시아","문화,종교",세르게이 라쿠바 총재는 “월드컵 현장 경기는 90%가 매진된 상태”라며 “교회가 월드컵 관람 환경을 제공해주면 더 많은 사람들을 교회 안으로 끌어 모을 수 있을 것”이라고 말했다.
78698,20180620,"국제,아시아","국제,유럽_EU",영국군 동료가 쿠크리를 보여 달라고 부탁하자 칼을 빼든 구르카 병사가 자기 손가락을 베어 피를 묻힌 뒤 칼집에 꽂았다는 일화가 있다.
78701,20180620,"국제,아시아","국제,유럽_EU","용병 구르카는 순수 구르카족 출신뿐 아니라 마가르족, 구룽족 등 네팔 다른 부족 출신도 적지 않다."
78727,20180620,"국제,아시아","국제,유럽_EU",시험은 25㎏의 돌을 채운 바구니를 머리에 매달고 가파른 산길 5㎞를 55분 안에 주파해야 하고 2분 안에 윗몸 일으키기를 70번 해야 하는 식이다.
78740,20180620,"국제,아시아","국제,유럽_EU",연금 기준으로 영국군이 월 800파운드(약 117만원)를 받는 반면 구르카 용병은 월 37파운드(약 5만5000원)를 받는 데 그친다.
79204,20180620,"사회,노동_복지",,양대 노총은 헌법소원심판 청구서에서 “국회를 통과한 최저임금법이 헌법에서 보장하는 근로자의 적정임금 및 최저임금보장요구권을 침해한다”고 주장했다.
79390,20180620,"사회,미디어",,지난해만 해도 S부터 E까지의 6개 등급 가운데 C(보통)등급을 받았지만 올해 강원랜드와 연루된 채용비리 사태가 불거지면서 등급이 하락했다.
79666,20180620,"스포츠,축구","스포츠,월드컵",승점 6점을 챙긴 러시아는 21일 0시에 열리는 우루과이-사우디아라비아전에서 우루과이가 이기거나 두 팀이 비기면 16강에 진출하게 된다.
79667,20180620,"스포츠,축구","스포츠,월드컵","이 경기에서 사우디아라비아가 이기더라도 러시아는 1, 2차전에서 골 득실 +7을 기록해 이변이 없는 한 16강에 진출할 가능성이 높다."
80452,20180620,"IT_과학,보안","IT_과학,모바일",이런 상황에서 지난달 15일 빗썸 측에서 서비스와 기술 검증이 제대로 이뤄지지 않은 암호화폐 ‘팝체인’을 상장한다고 밝히면서 거래소와 ICO 업체 간 ‘뒷돈’이 오갔다는 의혹이 증폭됐다.
80454,20180620,"IT_과학,보안","IT_과학,모바일","정부는 기본적으로 블록체인 시장은 열어 두되 시세조작과 자금세탁, 탈세, 다단계 판매 등 거래 관련 불법 행위를 엄정 대처하겠다는 입장이다."
80868,20180620,"사회,환경",,"이에 시민 20만명 이상이 동의하자 청와대 정혜승 뉴미디어비서관, 김혜애 기후환경비서관, 최재관 농어업비서관이 19일 답변에 나섰다."
80885,20180620,"국제,중동_아프리카","정치,정치일반","이사국 중엔 2011년 리비아가 비무장 시민들을 학살해서 제명된 적이 있지만, 스스로 탈퇴를 선언하기는 미국이 처음이다."
80893,20180620,"국제,중동_아프리카","정치,정치일반","유엔인권이사회가 대량학살이 벌어진 콩고를 이사국으로 승인하고, 베네수엘라와 이란의 인권 탄압에 대해선 소극적 태도를 보였다는 것이다."
80904,20180620,"국제,중동_아프리카","정치,정치일반","유엔인권이사회가 한계를 가지고 있기는 하지만, 미국이 탈퇴하면 인권문제에 대한 지렛대를 잃게 되고, 이사회가 더욱 한쪽으로 치우쳐질 수있다는 얘기다."
